"","teams","PTS","FGM","FGA","FG","X3PM","X3PA","X3P","FTM","FTA","FT","OR","DR","REB","AST","STL","BLK","TO","PF","season","playoffs"
"1","Phoenix Suns",110.4,40.9,85.6,47.7,9.7,24.7,39.3,19,25.4,74.8,11.8,32.3,44.1,23.5,7,5.5,13.7,19.1,2005,1
"2","Sacramento Kings",103.7,39.1,85.1,45.9,6.4,17,37.4,19.2,24.4,78.7,12.5,29.9,42.4,24.5,8.2,3.9,13.1,20.5,2005,1
"3","Dallas Mavericks",102.5,37.3,81.6,45.7,5.6,15.5,36.4,22.3,28.2,78.9,12.1,30.9,42.9,19.6,8.6,5.6,13.4,22.3,2005,1
"4","Miami Heat",101.5,37.8,77.7,48.6,5.8,15.4,37.7,20.2,30.1,67.2,10.8,32.2,43,21.8,6.4,5.8,13.7,22.1,2005,1
"5","Boston Celtics",101.3,37.1,79.4,46.8,5.3,15.3,34.9,21.6,28.3,76.4,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,2005,1
"6","Washington Wizards",100.5,36.2,82.9,43.7,6.3,18.3,34.3,21.9,30.2,72.5,13.8,29,42.8,19.1,8.7,4.2,14.3,22,2005,1
"7","Toronto Raptors",99.7,36,81.2,44.4,7.9,20.5,38.5,19.8,25.6,77.4,10.3,29.8,40.1,20.4,7.6,3.9,13.3,22.9,2005,0
"8","Denver Nuggets",99.5,37,80.7,45.9,3.9,11.5,34,21.5,28.2,76.3,11.8,30.2,42,23.9,9.1,6,14.9,22.9,2005,1
"9","Orlando Magic",99.5,37,81.5,45.4,3.9,11.2,34.9,21.6,28.5,75.9,12.7,31,43.7,19.3,7.7,5.4,16.1,23.6,2005,0
"10","Philadelphia 76ers",99.1,35.9,82.1,43.7,6.2,17.7,34.8,21.1,26.8,78.9,11.1,30.9,42,20.9,9.2,3.9,15.5,22.9,2005,1
"11","Seattle SuperSonics",98.9,35.1,79.2,44.4,8.1,22.2,36.5,20.5,26,79,12.7,28.2,40.9,18.1,6.7,4.1,13.6,23.7,2005,1
"12","Los Angeles Lakers",98.7,35.3,80.8,43.7,7.9,22.1,35.5,20.3,26.1,77.7,12.5,30.6,43.2,20.4,6.2,4.2,14.3,21.9,2005,0
"13","Golden State Warriors",98.7,36.9,85.8,43,7.6,21.6,35.2,17.2,23.8,72.2,13,29.7,42.7,22.1,7.8,5.1,13.6,22.4,2005,0
"14","New York Knicks",97.3,36.3,80.5,45.1,5.4,15.1,35.6,19.3,25.1,76.7,11.8,29.2,41,20.3,7.7,3.2,14.7,23.7,2005,0
"15","Milwaukee Bucks",97.2,36.1,80.2,45,4,11.3,35.1,21,27.2,77.2,12,29.3,41.3,21,6.5,3.5,13.8,21.9,2005,0
"16","Minnesota Timberwolves",96.8,37.1,80.8,45.9,4.8,14,34.5,17.7,22.2,79.6,11.5,31.5,43,23.4,5.6,5.5,13.2,21.6,2005,0
"17","Cleveland Cavaliers",96.5,36.5,81.5,44.7,3.7,11,33.2,19.9,26.5,75.2,13.6,28.7,42.3,22.6,8,5.6,13.9,22.6,2005,0
"18","San Antonio Spurs",96.2,35.6,78.7,45.3,6.2,17,36.3,18.7,25.9,72.4,12,30.4,42.4,21.6,7.5,6.6,13.7,20.9,2005,1
